,symbols,Description,price,company,negComp,negSto,negWord,negative,posComp,posSto,posWord,positive,score
0,ACC,American Campus Communities Inc,42.08,American Campus Communities Inc,0.0,0.0,1.0,0.1,0.0,7.142857142857143,2.0,4.485714285714286,0.0036006617903169623
1,ACCO,Acco Brands Corp,13.05,Acco Brands Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036006617903169623
2,ACH,Aluminum Corporation of China Ltd,20.27,Aluminum Corporation of China Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036006617903169623
3,ACM,Aecom Technology Corp,35.23,Aecom Technology Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035698869032202364
4,ACN,Accenture Plc,143.28,Accenture Plc,4.166666666666667,12.820512820512821,18.0,10.742307692307692,0.0,7.6923076923076925,17.0,6.315384615384615,0.000281977942692228
5,ACP,Avenue Income Credit Strategies,14.61,Avenue Income Credit Strategies,0.0,0.0,40.0,4.0,0.0,0.0,0.0,0.0,-0.0014773550036707936
6,ACRE,Ares Commercial Real Estate Cor,13.01,Ares Commercial Real Estate Cor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014773550036707936
7,ADX,Adams Express Company,15.64,Adams Express Company,9.090909090909092,0.0,9.090909090909092,3.6363636363636367,9.090909090909092,0.0,9.090909090909092,3.6363636363636367,-0.003325883309596665
8,AEB,Aegon N.V. Perp Cap Secs Floating Rate [Ne],24.4,Aegon N.V. Perp Cap Secs Floating Rate [Ne],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003325883309596665
9,AED,Aegon N.V. Perp Cap Secs [Ne],26.0121,Aegon N.V. Perp Cap Secs [Ne],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003325883309596665
10,AEE,Ameren Corp,61.8,Ameren Corp,0.0,0.0,0.0,0.0,0.0,0.0,40.90909090909091,4.090909090909091,0.007698369623742757
11,AEG,Aegon N.V.,5.85,Aegon N.V.,0.0,61.53846153846154,50.0,41.92307692307692,0.0,15.384615384615385,12.5,10.48076923076923,-0.0056515169873948504
12,AEH,Aegon N.V. Perp Cap Secs,25.83,Aegon N.V. Perp Cap Secs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056515169873948504
13,AEK,Aegon Nv 8.00% Non-Cum Notes Due 2042,26.58,Aegon Nv 8.00% Non-Cum Notes Due 2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056515169873948504
14,AEL,American Equity Investment Life,30.1,American Equity Investment Life,25.0,0.0,31.57894736842105,10.657894736842106,3.125,0.0,2.6315789473684212,1.200657894736842,-0.007490499203861272
15,AGM,Federal Agricultural Mortgage Corp,75.52,Federal Agricultural Mortgage Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007490499203861272
16,AGM-A,Federal Agricultural Mortgage,73.7,Federal Agricultural Mortgage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007136738461173781
17,BZH,Beazer Homes USA,19.94,Beazer Homes USA,0.0,0.0,8.974358974358974,0.8974358974358975,50.0,42.857142857142854,23.076923076923077,43.021978021978015,-0.0007301387578204186
18,C,Citigroup Inc,73.87,Citigroup Inc,0.0,1.7241379310344827,3.0,1.3344827586206895,10.0,3.4482758620689653,18.0,6.868965517241379,0.0035658015562321775
19,FNFV,Fnfv Group of Fidelity National,17.55,Fnfv Group of Fidelity National,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035658015562321775
20,FNV,Franco Nev Corp,79.24,Franco Nev Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035658015562321775
21,FOE,Ferro Corp,23.68,Ferro Corp,0.0,0.0,12.5,1.25,0.0,0.0,0.0,0.0,0.0032602697549942565
22,FSB,Franklin Financial Network Inc,36.1,Franklin Financial Network Inc,0.0,0.0,24.0,2.4000000000000004,0.0,0.0,2.0,0.2,0.002463530330933645
23,FSCE,Fifth Street Finance Corp,25.15,Fifth Street Finance Corp,0.0,0.0,8.771929824561404,0.8771929824561404,0.0,70.0,24.56140350877193,44.45614035087719,0.0036381822338612457
24,FSD,High Income Long Short Fund,17.0,High Income Long Short Fund,0.0,0.0,0.0,0.0,100.0,0.0,100.0,40.0,0.0041999115390154084
25,FSIC,FS Investment Corp,8.0,FS Investment Corp,0.0,100.0,50.0,65.0,0.0,0.0,0.0,0.0,0.003374937189150386
26,FSM,Fortuna Silver Mines,4.31,Fortuna Silver Mines,0.0,0.0,13.043478260869565,1.3043478260869565,0.0,0.0,15.217391304347826,1.5217391304347827,0.002212808861382918
27,FSS,Federal Signal Corp,21.39,Federal Signal Corp,0.0,0.0,33.333333333333336,3.333333333333334,0.0,0.0,0.0,0.0,0.002017679078063341
28,FT,Franklin Universal Trust,7.31,Franklin Universal Trust,0.0,0.0,7.6923076923076925,0.7692307692307693,0.0,0.0,0.0,0.0,0.0019417326417326413
29,SUP,Superior Industries International,16.15,Superior Industries International,0.0,0.0,0.0,0.0,100.0,0.0,94.5945945945946,39.45945945945946,0.010994701871879571
30,SUPV,Grupo Supervielle S.A.,25.72,Grupo Supervielle S.A.,0.0,0.0,0.0,0.0,0.0,83.33333333333333,85.71428571428571,58.57142857142856,0.01280096274669918
31,SWN,Southwestern Energy Company,5.44,Southwestern Energy Company,1.0,7.142857142857143,1.0,4.685714285714286,8.0,21.428571428571427,8.0,16.057142857142857,0.01394850216450216
